Episode,Total Reward,Epsilon
0,-4.25,0.999
1,-4.25,0.998001
2,-4.25,0.997002999
3,-4.25,0.996005996001
4,-4.6499999999999995,0.994014980014994
5,-4.25,0.993020965034979
6,14.050000000000002,0.9831353223738244
7,-4.6499999999999995,0.9811700348643991
8,-4.25,0.9801888648295347
9,-4.25,0.9792086759647052
10,-4.25,0.9782294672887405
11,-4.25,0.9772512378214517
12,11.000000000000002,0.9655885070369844
13,-4.25,0.9646229185299474
14,-4.25,0.9636582956114175
15,70.5,0.9295668775782806
16,81.3,0.9075119613694457
17,-4.6499999999999995,0.9056978449586682
18,-4.25,0.9047921471137096
19,81.44999999999999,0.8745314299402548
20,82.35000000000001,0.8512234991370281
21,-4.25,0.8503722756378911
22,-4.25,0.8495219033622532
23,-4.6499999999999995,0.847823709077432
24,-4.25,0.8469758853683546
25,-4.25,0.8461289094829862
26,-4.25,0.8452827805735033
27,-4.6499999999999995,0.8435930602951368
28,-4.25,0.8427494672348417
29,16.1,0.8326919101044725
30,-4.25,0.831859218194368
31,-4.25,0.8310273589761736
32,-4.25,0.8301963316171974
33,84.5,0.8170123504685082
34,27.700000000000003,0.8008264083574369
35,-4.6499999999999995,0.7992255563671304
36,-4.25,0.7984263308107633
37,86.10000000000001,0.7849611281333895
38,-4.6499999999999995,0.7833919908382508
39,-4.25,0.7826085988474126
40,-4.6499999999999995,0.7810441642583167
41,-4.25,0.7802631200940584
42,-4.6499999999999995,0.7787033741169904
43,-4.25,0.7779246707428734
44,-4.25,0.7771467460721305
45,-4.25,0.7763695993260584
46,-4.25,0.7755932297267324
47,85.65,0.7609888362515699
48,-4.25,0.7602278474153183
49,-4.6499999999999995,0.7587081519483351
50,-4.25,0.7579494437963867
51,-4.6499999999999995,0.7564343028582378
52,-4.25,0.7556778685553796
53,80.5,0.7444217038990517
54,-4.6499999999999995,0.7429336049129575
55,-4.6499999999999995,0.7414484806367364
56,-4.25,0.7407070321560997
57,-4.6499999999999995,0.7392263587988196
58,85.25000000000001,0.7231330071735643
59,-4.25,0.7224098741663908
60,-4.6499999999999995,0.7209657768279322
61,84.75,0.7102266645246085
62,-4.25,0.7095164378600839
63,-4.25,0.7088069214222238
64,-4.6499999999999995,0.7073900163863007
65,-4.6499999999999995,0.7059759437435444
66,83.9,0.6919897588949444
67,-4.25,0.6912977691360495
68,-4.6499999999999995,0.6899158648955466
69,-4.25,0.689225949030651
70,-4.25,0.6885367230816204
71,86.85000000000001,0.6769247732130653
72,-2.5999999999999996,0.6742211329618302
73,-4.6499999999999995,0.6728733649170395
74,-4.25,0.6722004915521225
75,3.200000000000001,0.6668416716372578
76,79.35000000000002,0.6445391933396063
77,-4.25,0.6438946541462667
78,-4.6499999999999995,0.6426075087326283
79,12.400000000000004,0.632402542800493
80,-4.25,0.6317701402576925
81,-4.6499999999999995,0.6305072317473174
82,-4.25,0.6298767245155701
83,-4.25,0.6292468477910546
84,-2.5999999999999996,0.6267336333646188
85,-4.25,0.6261068997312542
86,-4.25,0.6254807928315229
87,-4.25,0.6248553120386914
88,-4.25,0.6242304567266527
89,-4.25,0.623606226269926
90,-4.25,0.6229826200436561
91,-4.25,0.6223596374236124
92,-4.25,0.6217372777861888
93,-4.25,0.6211155405084027
94,1.1500000000000004,0.6173981515854621
95,-4.25,0.6167807534338766
96,-4.25,0.6161639726804428
97,-4.25,0.6155478087077623
98,-4.25,0.6149322608990545
99,-4.6499999999999995,0.6137030113095173
100,-4.25,0.6130893082982078
101,-4.25,0.6124762189899097
102,-4.25,0.6118637427709198
103,-4.25,0.6112518790281489
104,-4.25,0.6106406271491208
105,-4.25,0.6100299865219717
106,-4.25,0.6094199565354498
107,-4.25,0.6088105365789144
108,-4.25,0.6082017260423355
109,-4.25,0.6075935243162931
110,-4.25,0.6069859307919768
111,-4.25,0.6063789448611848
112,-4.25,0.6057725659163237
113,-4.6499999999999995,0.6045616265570569
114,-4.25,0.6039570649304998
115,-4.25,0.6033531078655693
116,1.1500000000000004,0.5997420274569785
117,-4.25,0.5991422854295215
118,-4.25,0.598543143144092
119,-4.25,0.5979446000009478
120,-4.25,0.5973466554009469
121,3.200000000000001,0.5925845744544587
122,-4.25,0.5919919898800042
123,-4.25,0.5913999978901242
124,-4.6499999999999995,0.5902177892943418
125,-4.25,0.5896275715050474
126,-4.25,0.5890379439335424
127,-4.25,0.5884489059896089
128,-4.25,0.5878604570836192
129,-4.25,0.5872725966265356
130,-4.25,0.5866853240299091
131,-4.25,0.5860986387058792
132,4.5500000000000025,0.5802639565486586
133,-4.25,0.57968369259211
134,-4.6499999999999995,0.5785249048906184
135,-4.6499999999999995,0.577368433605742
136,-4.25,0.5767910651721362
137,-4.25,0.576214274106964
138,-4.25,0.5756380598328571
139,-4.25,0.5750624217730242
140,-4.25,0.5744873593512512
141,-4.6499999999999995,0.573338959119908
142,-4.25,0.572765620160788
143,-4.25,0.5721928545406272
144,-4.25,0.5716206616860866
145,-4.25,0.5710490410244006
146,-4.25,0.5704779919833761
147,-4.25,0.5699075139913927
148,-4.25,0.5693376064774013
149,-4.25,0.5687682688709239
150,-4.25,0.5681995006020529
151,-4.6499999999999995,0.5670636698003494
152,-4.6499999999999995,0.5659301095244186
153,-4.25,0.5653641794148941
154,-4.25,0.5647988152354793
155,-4.25,0.5642340164202437
156,-4.25,0.5636697824038235
157,-4.25,0.5631061126214196
158,-4.25,0.5625430065087982
159,-4.25,0.5619804635022894
160,-4.25,0.561418483038787
161,-4.25,0.5608570645557482
162,-4.6499999999999995,0.5597359112837013
163,-4.25,0.5591761753724176
164,-2.5999999999999996,0.5569428234918348
165,-4.25,0.5563858806683429
166,-4.6499999999999995,0.5552736652928869
167,-4.25,0.5547183916275941
168,-4.25,0.5541636732359665
169,-4.25,0.5536095095627305
170,-4.6499999999999995,0.5525028441531146
171,-2.5999999999999996,0.5502961455841082
172,-4.6499999999999995,0.5491961035890855
173,-4.25,0.5486469074854965
174,-4.25,0.548098260578011
175,-4.6499999999999995,0.5470026121551156
176,-4.25,0.5464556095429605
177,-4.6499999999999995,0.5453632447794842
178,-4.25,0.5448178815347047
179,-4.6499999999999995,0.5437287905895168
180,-4.6499999999999995,0.5426418767371284
181,-4.25,0.5420992348603912
182,-4.25,0.5415571356255309
183,-4.25,0.5410155784899053
184,-4.25,0.5404745629114154
185,-4.25,0.539934088348504
186,-2.5999999999999996,0.5377775894404436
187,-4.25,0.5372398118510032
188,-4.25,0.5367025720391522
189,-4.25,0.536165869467113
190,-4.25,0.5356297035976458
191,-4.25,0.5350940738940482
192,-4.25,0.5345589798201541
193,-4.25,0.534024420840334
194,-4.25,0.5334903964194936
195,-4.25,0.5329569060230741
196,-4.6499999999999995,0.531891525167934
197,-4.25,0.5313596336427661
198,-4.25,0.5308282740091232
199,-4.25,0.5302974457351142
200,-2.5999999999999996,0.5281794356161887
201,-4.6499999999999995,0.5271236049243919
202,-4.25,0.5265964813194676
203,-4.25,0.5260698848381481
204,-4.25,0.5255438149533099
